date,Airline,flight no,cslat,cslong,origin,destination,ac type,route codes,total aboard,total fatalities,ground registration
2015-02-04,Transasia,GE235,25.063333,121.617778,TSA,KHN,ATR 72-600,TSA-KHN,58,43,B-22816
2015-03-24,Germanwings,4U9525,44.28,6.038889,BCN,DUS,Airbus A320-211,BCN-DUS,150,150,D-AIPX
2015-06-30,Sumatra Indonesian Air Force Civilian Transport,A1310,3.52578,98.630556,MLG,TNJ,C-130B,MLG-TNJ,122,139,A-1310
2015-08-16,Trigana Air Service,IL267,-4.824444,140.498056,DJJ,OKL,ATR 42-300,DJJ-OKL,54,54,PK-YRN
2015-09-05,Senegalair,C271,13.883333,-12.8,DKR,SSG,Hawker Siddeley HS-125,DKR-SSG,7,7,6V-AIM
2015-10-31,Metrojet,7K9268,30.169167,34.172778,SSH,LED,Airbus A321-231,SSH-LED,224,224,EI-ETJ
2016-01-08,West Air Sweden,PT294,67.716667,16.9,OSL,TOS,Canadair CRJ-200,OSL-TOS,2,2,SE-DUX
2016-02-02,Daallo Airlines,D9159,2.039167,45.341944,MGQ,AII,Airbus A321-111,MGQ-AII,72,1,SX-BHS
2016-02-24,Tara Air,TB193,28.9,83.1,PKR,JMO,de Havilland DHC-6 Twin Otter 400,PKR-JMO,23,23,9N-AHH
2016-03-09,True Aviation Ltd.,AN21,21.451944,91.963889,CXB,IXZ,Antonov An-26,CXB-IXZ,4,3,S2-AGZ
2016-03-19,Flydubai,FZ981,47.265,39.828833,DXB,ROV,Boeing 737-8KN (WL),DXB-ROV,62,62,A6-FDN
2016-04-29,CHC Helikopter Service,HKS241,60.452222,4.096944,BGO,BGO,Eurocopter EC225LP Super Puma M2+,BGO-BGO,13,13,LN-OJF
2016-05-19,Egyptair,MS804,34.1325,4.763611,CDG,CAI,Airbus A320-232,CDG-CAI,66,66,SU-GCC
2016-08-05,Emirates,EK521,55.379444,25.2475,TRV,DXB,Boeing 777-31H,TRV-DXB,300,0,A6-EMW
2016-08-31,Hageland Aviation,H63190,61.785556,-161.334167,KWN,TOG,Cessna 208 Grand Caravan,KWN-TOG,5,5,N752RV
2016-11-28,LaMia Bolivia,LM2933,5.978611,-75.418333,VVI,MDE,Avro RJ-85,VVI-MDE,77,71,CP-2933
2016-12-07,Pakistan International Airlines,PK660,24.911667,67.187778,CJL,ISB,ATR-42-500,CJL-ISB,48,48,AP-BHO
2016-12-20,Aerosucre Colombia,6C157,6.187333,-67.577778,PCR,BOG,Boeing 727-2JOF,PCR-BOG,6,5,HK-4544
2017-01-16,Turkish Airlines,TK6491,43.057222,74.437222,HKG,FRU,Boeing 747-412F,HKG-FRU,4,4,TC-MCL
2017-05-05,Air Cargo Carriers,2Q1260,38.375833,-81.593056,SDF,CRW,Shorts 300-200,SDF-CRW,2,2,N334AC
2017-05-27,Summit Air,SMA409,27.68526,86.72646,KTM,LUA,Let L-410UVP-E20,KTM-LUA,3,2,9N-AKY
2017-12-13,West Wind Aviation,WEW282,59.3368,107.2019,ZFD,YSK,ATR42-320,ZFD-YSK,25,1,C-GWEA
2017-12-31,Nature Air,5C9916,9.901425,85.303615,PBP,SJO,Cessna 208B Grand Caravan,PBP-SJO,12,12,TI-BEI
2018-02-11,Saratov Airlines,6W703,55.299722,38.390278,DME,OSW,Antonov AN-148-100,DME-OSW,71,71,RA-61704
2018-02-18,Iran Aseman Airlines,EP3704,30.95,51.433333,THR,YES,ATR 72-212,THR-YES,66,66,EP-ATS
2018-03-12,US-Bangla Airlines,BS211,27.692581,85.358897,DAC,KTM,de Havilland Canada DHC-8-402Q Dash 8,DAC-KTM,71,51,S2-AGU
2018-04-17,Southwest Airlines,WN1380,39.952778,-75.163611,LGA,DAL,Boeing 737-7H4,LGA-DAL,149,1,N722SW
2018-05-18,Cubana (leased from Global Air),CU972,22.991389,-82.391111,HAV,HOG,Boeing 737-201,HAV-HOG,113,112,XA-UHZ
2018-09-28,Air Niugini,PX73,7.453486,151.836072,PNI,POM,Boeing 737-8BK,PNI-POM,47,1,P2-PXE
2018-10-29,Lion Air,JT610,-5.770833,107.121111,CGK,PGK,Boeing 737-MAX 8,CGK-PGK,189,189,PK-LQP
2018-11-06,Fly Jamaica Airways,OJ256,6.506972,-58.24575,GEO,YYZ,Boeing 757-N23,GEO-YYZ,128,1,N524AT
2019-02-23,Atlas Air serving Amazon,5Y3591,29.763889,-94.714722,MIA,IAH,Boeing 767-375ER,MIA-IAH,3,3,N1217A
2019-03-10,Ethiopian Airlines,ET302,8.75,38.983333,ADD,NBO,Boeing 737 Max 8,ADD-NBO,157,157,ET-AVJ
2019-05-05,Aeroflot Russian International Airlines,SU1492,55.968333,37.401944,SVO,MMK,Sukhoi Superjet-100-95B,SVO-MMK,78,41,RA-89098
2019-10-04,Ukraine Air Alliance,UKL4050,49.8125,23.956111,VGO,IST,Antonov An-12BK,VGO-IST,8,5,UR-CAH
2019-12-27,Bek Air,Z92100,43.365278,77.071389,ALA,NQZ,Fokker 100,ALA-NQZ,98,12,UP-F100
2020-01-08,Ukraine International Airlines,PS752,35.561111,51.103889,IKA,KBP,Boeing 737-8KV WL,IKA-KBP,176,176,UR-PSR
2020-02-05,Pegasus Airlines,PC2193,40.898333,29.309167,ADB,SAW,Boeing 737-86J,ADB-SAW,177,3,TC-IZK
2020-05-22,Pakistan International Airline,PK8303,24.911667,67.187778,LHE,KHI,Airbus A320-214,LHE-KHI,99,97,AP-BLD
2020-08-07,Air India Exppress,IX1344,11.133056,75.970278,DXB,CCJ,Boeing 737-8HG,DXB-CCJ,190,20,VT-AXH
2021-01-09,Sriwijaya Air,SJ182,-5.963889,106.574444,CGK,PNK,Boeing 737-524,CGK-PNK,62,62,PK-CLC
2021-07-06,Kamchatka Air Enterprise,PTK251,59.108056,159.846667,PKC,NONE,Antonov An 26B-100,UHPP-UHPL,28,28,RA-26085
2021-09-12,Aeroservice/SiLA,HZ51,56.25123,107.53474,IKT,KJA,Let L-410UVP-E20,IKT-KJA,16,4,RA-67042
2022-03-22,China Eastern Airlines,MU5735,23.324167,111.111944,KMG,CAN,Boeing 737-89P WL,KMG-CAN,132,132,B-1791
2022-05-29,Tara Air,TB197,28.9598,83.8188,PKR,JMO,de Havilland Canada DHC-6 Twin Otter 300,PKR-JMO,22,22,9N-AET
2022-07-16,Meridian,MRM3032,40.966667,24.2,INI,DAC,Antonov AN-12,INI-DAC,8,8,UR-CIC
2022-11-06,Precision Air,PW494,-1.335278,31.825833,DAR,BKZ,ATR 42-500,DAR-BKZ,43,19,5H-PWF
2022-11-18,LATAM Peru,LP2213,-12.021944,77.114444,LIM,JUL,Airbus 320-271N,LIM-JUL,108,0,CC-BHB
2023-01-15,Yeti Airlines,YT691,28.18969,84.014893,KTM,PKR,ATR 72-500-72-212-A,KTM-PKR,72,72,9NANC
