date	Airline	flight no	dest airport	destination lat	destination long
2015-02-04	Transasia	GE235	KHN	28.6	115.917
2015-03-24	Germanwings	4U9525	DUS	51.289	6.767
2015-06-30	Sumatra Indonesian Air Force Civilian Transport	A1310	TNJ	0.922	104.532
2015-08-16	Trigana Air Service	IL267	OKL	-5.083	140.681
2015-09-05	Senegalair	C271	SSG	3.755	8.709
2015-10-31	Metrojet	7K9268	LED	59.8	30.265
2016-01-08	West Air Sweden	PT294	TOS	69.683	18.919
2016-02-02	Daallo Airlines	D3159	JIB	11.547	43.159
2016-02-24	Tara Air	TB193	JMO	28.78	83.723
2016-03-09	True Aviation Ltd.	AN21	IXZ	11.646	92.733
2016-03-19	Flydubai	FZ981	ROV	47.258	39.818
2016-04-29	CHC Helikopter Service	HKS241	BGO	60.293	5.218
2016-05-19	Egyptair	MS804	CAI	30.122	31.406
2016-08-05	Emirates	EK521	DXB	25.255	55.364
2016-08-31	Hageland Aviation	H63190	TOG	59.053	-160.396
2016-11-28	LaMia Bolivia	LM2933	MDE	6.164	-75.423
2016-12-07	Pakistan International Airlines	PK660	ISB	33.616	73.099
2016-12-20	Aerosucre Colombia	6C157	BOG	4.701	-74.147
2017-01-16	Turkish Airlines	TK6491	FRU	43.062	74.478
2017-05-05	Air Cargo Carriers	2Q1260	CRW	38.373	-81.593
2017-05-27	Summit Air	SMA409	LUA	48.031	-0.743
2017-12-13	West Wind Aviation	WEW282	YSK	56.53	-79.25
2017-12-31	Nature Air	5C9916	SJO	9.994	-84.209
2018-02-11	Saratov Airlines	6W703	OSW	51.072	58.595
2018-02-18	Iran Aseman Airlines	EP3704	YES	32.384	-94.711
2018-03-12	US-Bangla Airlines	BS211	KTM	27.696	85.359
2018-04-17	Southwest Airlines	WN1380	DAL	32.847	-96.852
2018-05-18	Cubana (leased from Global Air)	CU972	HOG	20.786	-76.315
2018-09-28	Air Niugini	PX73	POM	-9.443	147.22
2018-10-29	Lion Air	JT610	PGK	-2.163	106.139
2018-11-06	Fly Jamaica Airways	OJ256	YYZ	43.677	-79.631
2019-02-23	Atlas Air serving Amazon	5Y3591	IAH	29.98	-95.34
2019-03-10	Ethiopian Airlines	ET302	NBO	-1.322	36.926
2019-05-05	Aeroflot Russian International Airlines	SU1492	MMK	68.782	32.751
2019-10-04	Ukraine Air Alliance	UKL4050	IST	40.977	28.821
2019-12-27	Bek Air	Z92100	NQZ	-45.02	168.741
2020-01-08	Ukraine International Airlines	PS752	KBP	50.344	30.893
2020-02-05	Pegasus Airlines	PC2193	SAW	46.353	-87.395
2020-05-22	Pakistan International Airline	PK8303	KHI	24.906	67.161
2020-08-07	Air India Exppress	IX1344	CCJ	11.136	75.955
2021-01-09	Sriwijaya Air	SJ182	PNK	-0.151	109.404
2021-07-06	Kamchatka Air Enterprise	PTK251	PKC	53.166	158.453
2021-09-12	Aeroservice/SiLA	HZ51	KJA	56.171	92.493
2022-03-22	China Eastern Airlines	MU5735	CAN	23.184	113.266
2022-05-29	Tara Air	TB197	JMO	28.78	83.723
2022-07-16	Meridian	MRM3032	DAC	23.843	90.398
2022-11-06	Precision Air	PW494	BKZ	-1.33	31.819
2022-11-18	LATAM Peru	LP2213	JUL	-15.467	-70.158
2023-01-15	Yeti Airlines	YT691	PKR	28.2	83.981
